id,fraud,name,email_id,phone_number,connection
71,0,Arjun Rao,ArjRao@chrome.com,9877928103,ArjRao@chrome.com
72,1,Priya Verma,PriVerma@chrome.com,9855787171,PriVerma@chrome.com
73,0,Siddharth Sharma,SidSharma@chrome.com,9834477754,SidSharma@chrome.com
74,0,Aisha Patel,AisPatel@chrome.com,9899047632,AisPatel@chrome.com
75,0,Rohan Singh,RohSingh@gmail.com,9858519628,RohSingh@gmail.com
76,1,Meera Reddy,MeeReddy@gmail.com,9855787171,MeeReddy@gmail.com
77,1,Vikram Kumar,VikKumar@gmail.com,9855787171,VikKumar@gmail.com
78,0,Anjali Patel,AnjPatel@gmail.com,9878461011,AnjPatel@gmail.com
79,0,Katha Sharma,KatSharma@gmail.com,9823805852,KatSharma@gmail.com
80,0,Dhani Kapoor,DhaKapoor@gmail.com,9876802650,DhaKapoor@gmail.com
